dataset,subject_id,phase,date,day_index,time_of_day_h,counts_per_min,light_level
Lab A,1316,ADL,2026-06-17,-8,5.0,0.0,0.0
Lab A,1316,ADL,2026-06-17,-8,5.167,0.0,755.2
Lab A,1316,ADL,2026-06-17,-8,5.333,0.0,750.2
Lab A,1316,ADL,2026-06-17,-8,5.5,0.0,748.7
Lab A,1316,ADL,2026-06-17,-8,5.667,0.0,748.4
Lab A,1316,ADL,2026-06-17,-8,5.833,0.0,747.6
Lab A,1316,ADL,2026-06-17,-8,6.0,0.0,747.5
Lab A,1316,ADL,2026-06-17,-8,6.167,0.0,747.3
Lab A,1316,ADL,2026-06-17,-8,6.333,0.0,746.9
Lab A,1316,ADL,2026-06-17,-8,6.5,0.0,746.8
Lab A,1316,ADL,2026-06-17,-8,6.667,0.0,746.6
Lab A,1316,ADL,2026-06-17,-8,6.833,0.0,746.0
Lab A,1316,ADL,2026-06-17,-8,7.0,12.7,744.1
Lab A,1316,ADL,2026-06-17,-8,7.167,9.4,749.2
Lab A,1316,ADL,2026-06-17,-8,7.333,18.6,747.6
Lab A,1316,ADL,2026-06-17,-8,7.5,1.7,749.2
Lab A,1316,ADL,2026-06-17,-8,7.667,0.0,749.0
Lab A,1316,ADL,2026-06-17,-8,7.833,0.0,748.7
Lab A,1316,ADL,2026-06-17,-8,8.0,0.0,749.3
Lab A,1316,ADL,2026-06-17,-8,8.167,0.0,750.1
Lab A,1316,ADL,2026-06-17,-8,8.333,0.0,749.9
Lab A,1316,ADL,2026-06-17,-8,8.5,0.0,750.3
Lab A,1316,ADL,2026-06-17,-8,8.667,0.0,749.2
Lab A,1316,ADL,2026-06-17,-8,8.833,0.0,750.3
Lab A,1316,ADL,2026-06-17,-8,9.0,0.0,750.0
Lab A,1316,ADL,2026-06-17,-8,9.167,0.0,750.1
Lab A,1316,ADL,2026-06-17,-8,9.333,0.0,749.5
Lab A,1316,ADL,2026-06-17,-8,9.5,0.0,749.5
Lab A,1316,ADL,2026-06-17,-8,9.667,0.0,749.8
Lab A,1316,ADL,2026-06-17,-8,9.833,0.0,749.8
Lab A,1316,ADL,2026-06-17,-8,10.0,0.0,749.7
Lab A,1316,ADL,2026-06-17,-8,10.167,0.0,749.6
Lab A,1316,ADL,2026-06-17,-8,10.333,0.0,749.7
Lab A,1316,ADL,2026-06-17,-8,10.5,0.0,750.0
Lab A,1316,ADL,2026-06-17,-8,10.667,0.0,749.8
Lab A,1316,ADL,2026-06-17,-8,10.833,1.1,748.3
Lab A,1316,ADL,2026-06-17,-8,11.0,0.0,748.6
Lab A,1316,ADL,2026-06-17,-8,11.167,0.0,749.2
Lab A,1316,ADL,2026-06-17,-8,11.333,0.0,749.5
Lab A,1316,ADL,2026-06-17,-8,11.5,0.0,749.0
Lab A,1316,ADL,2026-06-17,-8,11.667,0.0,748.8
Lab A,1316,ADL,2026-06-17,-8,11.833,0.0,749.0
Lab A,1316,ADL,2026-06-17,-8,12.0,0.0,749.4
Lab A,1316,ADL,2026-06-17,-8,12.167,0.0,749.7
Lab A,1316,ADL,2026-06-17,-8,12.333,3.1,719.6
Lab A,1316,ADL,2026-06-17,-8,12.5,26.3,695.7
Lab A,1316,ADL,2026-06-17,-8,12.667,31.7,705.1
Lab A,1316,ADL,2026-06-17,-8,12.833,30.2,705.7
Lab A,1316,ADL,2026-06-17,-8,13.0,26.2,705.7
Lab A,1316,ADL,2026-06-17,-8,13.167,7.0,708.9
Lab A,1316,ADL,2026-06-17,-8,13.333,0.0,707.8
Lab A,1316,ADL,2026-06-17,-8,13.5,0.0,718.9
Lab A,1316,ADL,2026-06-17,-8,13.667,2.1,740.6
Lab A,1316,ADL,2026-06-17,-8,13.833,0.0,742.4
Lab A,1316,ADL,2026-06-17,-8,14.0,0.0,741.7
Lab A,1316,ADL,2026-06-17,-8,14.167,0.0,742.3
Lab A,1316,ADL,2026-06-17,-8,14.333,0.0,742.0
Lab A,1316,ADL,2026-06-17,-8,14.5,0.0,729.6
Lab A,1316,ADL,2026-06-17,-8,14.667,8.5,703.6
Lab A,1316,ADL,2026-06-17,-8,14.833,20.2,696.8
Lab A,1316,ADL,2026-06-17,-8,15.0,12.5,732.2
Lab A,1316,ADL,2026-06-17,-8,15.167,17.5,755.2
Lab A,1316,ADL,2026-06-17,-8,15.333,1.9,758.2
Lab A,1316,ADL,2026-06-17,-8,15.5,0.0,758.0
Lab A,1316,ADL,2026-06-17,-8,15.667,0.0,757.9
Lab A,1316,ADL,2026-06-17,-8,15.833,0.0,758.4
Lab A,1316,ADL,2026-06-17,-8,16.0,0.0,757.8
Lab A,1316,ADL,2026-06-17,-8,16.167,0.0,758.5
Lab A,1316,ADL,2026-06-17,-8,16.333,1.4,758.3
Lab A,1316,ADL,2026-06-17,-8,16.5,0.0,758.2
Lab A,1316,ADL,2026-06-17,-8,16.667,0.0,758.5
Lab A,1316,ADL,2026-06-17,-8,16.833,0.0,758.5
Lab A,1316,ADL,2026-06-17,-8,17.0,0.0,606.8
Lab A,1316,ADL,2026-06-17,-8,17.167,15.7,0.0
Lab A,1316,ADL,2026-06-17,-8,17.333,22.7,0.0
Lab A,1316,ADL,2026-06-17,-8,17.5,13.6,0.0
Lab A,1316,ADL,2026-06-17,-8,17.667,32.4,0.0
Lab A,1316,ADL,2026-06-17,-8,17.833,22.6,0.0
Lab A,1316,ADL,2026-06-17,-8,18.0,1.7,0.0
Lab A,1316,ADL,2026-06-17,-8,18.167,0.0,0.0
Lab A,1316,ADL,2026-06-17,-8,18.333,32.6,0.0
Lab A,1316,ADL,2026-06-17,-8,18.5,9.6,0.0
Lab A,1316,ADL,2026-06-17,-8,18.667,0.0,0.0
Lab A,1316,ADL,2026-06-17,-8,18.833,0.0,0.0
Lab A,1316,ADL,2026-06-17,-8,19.0,0.0,0.0
Lab A,1316,ADL,2026-06-17,-8,19.167,0.0,0.0
Lab A,1316,ADL,2026-06-17,-8,19.333,0.0,0.0
Lab A,1316,ADL,2026-06-17,-8,19.5,6.9,0.0
Lab A,1316,ADL,2026-06-17,-8,19.667,12.6,0.0
Lab A,1316,ADL,2026-06-17,-8,19.833,24.6,0.0
Lab A,1316,ADL,2026-06-17,-8,20.0,18.2,0.0
Lab A,1316,ADL,2026-06-17,-8,20.167,5.9,0.0
Lab A,1316,ADL,2026-06-17,-8,20.333,32.9,0.0
Lab A,1316,ADL,2026-06-17,-8,20.5,17.0,0.0
Lab A,1316,ADL,2026-06-17,-8,20.667,13.7,0.0
Lab A,1316,ADL,2026-06-17,-8,20.833,20.2,0.0
Lab A,1316,ADL,2026-06-17,-8,21.0,34.5,0.0
Lab A,1316,ADL,2026-06-17,-8,21.167,30.8,0.0
Lab A,1316,ADL,2026-06-17,-8,21.333,12.9,0.0
Lab A,1316,ADL,2026-06-17,-8,21.5,5.5,0.0
Lab A,1316,ADL,2026-06-17,-8,21.667,0.0,0.0
Lab A,1316,ADL,2026-06-17,-8,21.833,0.0,0.0
Lab A,1316,ADL,2026-06-17,-8,22.0,0.0,0.0
Lab A,1316,ADL,2026-06-17,-8,22.167,1.2,0.0
Lab A,1316,ADL,2026-06-17,-8,22.333,25.8,0.0
Lab A,1316,ADL,2026-06-17,-8,22.5,25.2,0.0
Lab A,1316,ADL,2026-06-17,-8,22.667,35.1,0.0
Lab A,1316,ADL,2026-06-17,-8,22.833,20.0,0.0
Lab A,1316,ADL,2026-06-17,-8,23.0,39.1,0.0
Lab A,1316,ADL,2026-06-17,-8,23.167,27.3,0.0
Lab A,1316,ADL,2026-06-17,-8,23.333,22.7,0.0
Lab A,1316,ADL,2026-06-17,-8,23.5,19.1,0.0
Lab A,1316,ADL,2026-06-17,-8,23.667,27.6,0.0
Lab A,1316,ADL,2026-06-17,-8,23.833,17.0,0.0
Lab A,1316,ADL,2026-06-18,-7,0.0,34.4,0.0
Lab A,1316,ADL,2026-06-18,-7,0.167,33.4,0.0
Lab A,1316,ADL,2026-06-18,-7,0.333,5.2,0.0
Lab A,1316,ADL,2026-06-18,-7,0.5,0.0,0.0
