dataset,subject_id,phase,metric,value
Lab A,1316,ADL,total_counts,7092.543
Lab A,1316,ADL,RA,0.641
Lab A,1316,ADL,IV,2.047
Lab A,1316,ADL,IS,0.337
Lab A,1316,ADL,alpha_counts,1529.343
Lab A,1316,ADL,rho_counts,5563.2
Lab A,1316,ADL,amplitude,7.674
Lab A,1316,ADL,mesor,4.924
Lab A,1316,ADL,light_phase_activity,1.798
Lab A,1316,ADL,dark_phase_activity,8.23
Lab A,1338,ADL,total_counts,15777.248
Lab A,1338,ADL,RA,0.541
Lab A,1338,ADL,IV,1.782
Lab A,1338,ADL,IS,0.324
Lab A,1338,ADL,alpha_counts,5697.24
Lab A,1338,ADL,rho_counts,10080.007
Lab A,1338,ADL,amplitude,6.922
Lab A,1338,ADL,mesor,10.944
Lab A,1338,ADL,light_phase_activity,4.245
Lab A,1338,ADL,dark_phase_activity,14.26
Lab A,1339,ADL,total_counts,6566.007
Lab A,1339,ADL,RA,0.598
Lab A,1339,ADL,IV,1.934
Lab A,1339,ADL,IS,0.34
Lab A,1339,ADL,alpha_counts,1493.255
Lab A,1339,ADL,rho_counts,5072.752
Lab A,1339,ADL,amplitude,5.442
Lab A,1339,ADL,mesor,4.558
Lab A,1339,ADL,light_phase_activity,1.723
Lab A,1339,ADL,dark_phase_activity,6.84
Lab A,1340,ADL,total_counts,18434.598
Lab A,1340,ADL,RA,0.493
Lab A,1340,ADL,IV,1.252
Lab A,1340,ADL,IS,0.318
Lab A,1340,ADL,alpha_counts,5466.579
Lab A,1340,ADL,rho_counts,12968.019
Lab A,1340,ADL,amplitude,12.574
Lab A,1340,ADL,mesor,12.796
Lab A,1340,ADL,light_phase_activity,5.989
Lab A,1340,ADL,dark_phase_activity,17.651
Lab A,1341,ADL,total_counts,9690.445
Lab A,1341,ADL,RA,0.746
Lab A,1341,ADL,IV,1.879
Lab A,1341,ADL,IS,0.42
Lab A,1341,ADL,alpha_counts,2386.131
Lab A,1341,ADL,rho_counts,7304.314
Lab A,1341,ADL,amplitude,8.879
Lab A,1341,ADL,mesor,6.717
Lab A,1341,ADL,light_phase_activity,1.522
Lab A,1341,ADL,dark_phase_activity,10.461
Lab A,1342,ADL,total_counts,20423.069
Lab A,1342,ADL,RA,0.376
Lab A,1342,ADL,IV,1.977
Lab A,1342,ADL,IS,0.339
Lab A,1342,ADL,alpha_counts,7843.788
Lab A,1342,ADL,rho_counts,12579.281
Lab A,1342,ADL,amplitude,9.712
Lab A,1342,ADL,mesor,14.173
Lab A,1342,ADL,light_phase_activity,8.227
Lab A,1342,ADL,dark_phase_activity,18.153
Lab A,1316,TRF,total_counts,5794.583
Lab A,1316,TRF,RA,0.754
Lab A,1316,TRF,IV,1.855
Lab A,1316,TRF,IS,0.512
Lab A,1316,TRF,alpha_counts,1085.995
Lab A,1316,TRF,rho_counts,4708.588
Lab A,1316,TRF,amplitude,6.297
Lab A,1316,TRF,mesor,4.022
Lab A,1316,TRF,light_phase_activity,0.913
Lab A,1316,TRF,dark_phase_activity,6.5
Lab A,1338,TRF,total_counts,14518.431
Lab A,1338,TRF,RA,0.583
Lab A,1338,TRF,IV,1.091
Lab A,1338,TRF,IS,0.532
Lab A,1338,TRF,alpha_counts,3863.714
Lab A,1338,TRF,rho_counts,10654.717
Lab A,1338,TRF,amplitude,12.663
Lab A,1338,TRF,mesor,10.077
Lab A,1338,TRF,light_phase_activity,4.084
Lab A,1338,TRF,dark_phase_activity,15.48
Lab A,1339,TRF,total_counts,4658.831
Lab A,1339,TRF,RA,0.675
Lab A,1339,TRF,IV,2.034
Lab A,1339,TRF,IS,0.281
Lab A,1339,TRF,alpha_counts,1183.133
Lab A,1339,TRF,rho_counts,3475.698
Lab A,1339,TRF,amplitude,4.195
Lab A,1339,TRF,mesor,3.233
Lab A,1339,TRF,light_phase_activity,1.013
Lab A,1339,TRF,dark_phase_activity,5.228
Lab A,1340,TRF,total_counts,13609.643
Lab A,1340,TRF,RA,0.533
Lab A,1340,TRF,IV,1.044
Lab A,1340,TRF,IS,0.447
Lab A,1340,TRF,alpha_counts,4374.54
Lab A,1340,TRF,rho_counts,9235.102
Lab A,1340,TRF,amplitude,9.803
Lab A,1340,TRF,mesor,9.448
Lab A,1340,TRF,light_phase_activity,4.077
Lab A,1340,TRF,dark_phase_activity,13.371
Lab A,1341,TRF,total_counts,8272.683
Lab A,1341,TRF,RA,0.763
Lab A,1341,TRF,IV,1.794
Lab A,1341,TRF,IS,0.456
Lab A,1341,TRF,alpha_counts,1537.129
Lab A,1341,TRF,rho_counts,6735.555
Lab A,1341,TRF,amplitude,8.873
Lab A,1341,TRF,mesor,5.738
Lab A,1341,TRF,light_phase_activity,1.273
Lab A,1341,TRF,dark_phase_activity,9.495
Lab A,1342,TRF,total_counts,16523.733
Lab A,1342,TRF,RA,0.5
Lab A,1342,TRF,IV,1.717
Lab A,1342,TRF,IS,0.421
Lab A,1342,TRF,alpha_counts,5176.429
Lab A,1342,TRF,rho_counts,11347.305
Lab A,1342,TRF,amplitude,10.519
Lab A,1342,TRF,mesor,11.469
Lab A,1342,TRF,light_phase_activity,5.385
Lab A,1342,TRF,dark_phase_activity,16.143
