dataset,subject_id,subject_type,diet,design,phase,date,day_index,body_weight_g
Lab A,1338,mouse,,within,baseline,2026-06-16,-1,35.4
Lab A,1338,mouse,control,within,ADL,2026-06-17,0,34.2
Lab A,1338,mouse,control,within,ADL,2026-06-18,1,33.8
Lab A,1338,mouse,control,within,ADL,2026-06-19,2,34.5
Lab A,1338,mouse,control,within,ADL,2026-06-20,3,34.3
Lab A,1338,mouse,control,within,ADL,2026-06-21,4,34.0
Lab A,1338,mouse,control,within,ADL,2026-06-22,5,35.0
Lab A,1338,mouse,control,within,ADL,2026-06-23,6,34.3
Lab A,1338,mouse,,within,transition,2026-06-24,7,34.5
Lab A,1338,mouse,TRF,within,TRF,2026-06-25,8,34.5
Lab A,1338,mouse,TRF,within,TRF,2026-06-26,9,34.6
Lab A,1338,mouse,TRF,within,TRF,2026-06-27,10,34.5
Lab A,1338,mouse,TRF,within,TRF,2026-06-28,11,34.0
Lab A,1338,mouse,TRF,within,TRF,2026-06-29,12,34.6
Lab A,1338,mouse,TRF,within,TRF,2026-06-30,13,34.3
Lab A,1338,mouse,TRF,within,TRF,2026-07-01,14,34.8
Lab A,1339,mouse,,within,baseline,2026-06-16,-1,31.7
Lab A,1339,mouse,control,within,ADL,2026-06-17,0,31.4
Lab A,1339,mouse,control,within,ADL,2026-06-18,1,31.1
Lab A,1339,mouse,control,within,ADL,2026-06-19,2,30.9
Lab A,1339,mouse,control,within,ADL,2026-06-20,3,31.1
Lab A,1339,mouse,control,within,ADL,2026-06-21,4,30.6
Lab A,1339,mouse,control,within,ADL,2026-06-22,5,30.9
Lab A,1339,mouse,control,within,ADL,2026-06-23,6,31.2
Lab A,1339,mouse,,within,transition,2026-06-24,7,29.7
Lab A,1339,mouse,TRF,within,TRF,2026-06-25,8,29.3
Lab A,1339,mouse,TRF,within,TRF,2026-06-26,9,29.5
Lab A,1339,mouse,TRF,within,TRF,2026-06-27,10,30.4
Lab A,1339,mouse,TRF,within,TRF,2026-06-28,11,29.4
Lab A,1339,mouse,TRF,within,TRF,2026-06-29,12,29.8
Lab A,1339,mouse,TRF,within,TRF,2026-06-30,13,30.4
Lab A,1339,mouse,TRF,within,TRF,2026-07-01,14,30.1
Lab A,1316,mouse,,within,baseline,2026-06-16,-1,32.6
Lab A,1316,mouse,control,within,ADL,2026-06-17,0,31.2
Lab A,1316,mouse,control,within,ADL,2026-06-18,1,30.9
Lab A,1316,mouse,control,within,ADL,2026-06-19,2,31.2
Lab A,1316,mouse,control,within,ADL,2026-06-20,3,31.5
Lab A,1316,mouse,control,within,ADL,2026-06-21,4,31.3
Lab A,1316,mouse,control,within,ADL,2026-06-22,5,31.6
Lab A,1316,mouse,control,within,ADL,2026-06-23,6,31.4
Lab A,1316,mouse,,within,transition,2026-06-24,7,31.5
Lab A,1316,mouse,TRF,within,TRF,2026-06-25,8,31.4
Lab A,1316,mouse,TRF,within,TRF,2026-06-26,9,31.4
Lab A,1316,mouse,TRF,within,TRF,2026-06-27,10,31.4
Lab A,1316,mouse,TRF,within,TRF,2026-06-28,11,31.4
Lab A,1316,mouse,TRF,within,TRF,2026-06-29,12,31.4
