dataset,unit,date,n_samples,mean_battery_v,min_battery_v,pct_error,pct_door_open,n_timeddoor,n_freefeeding,day_index
Lab A,TUMBLY001,2026-06-16,1009.0,4.025,4.0,0.0,100.0,0.0,1009.0,-9
Lab A,TUMBLY001,2026-06-17,2746.0,4.019,3.99,0.0,100.0,0.0,2746.0,-8
Lab A,TUMBLY001,2026-06-18,2758.0,4.003,3.96,0.109,100.0,0.0,2758.0,-7
Lab A,TUMBLY001,2026-06-19,2757.0,3.989,3.95,0.0,100.0,0.0,2757.0,-6
Lab A,TUMBLY001,2026-06-20,2749.0,3.972,3.94,0.0,100.0,0.0,2749.0,-5
Lab A,TUMBLY001,2026-06-21,2757.0,3.955,3.92,0.218,100.0,0.0,2757.0,-4
Lab A,TUMBLY001,2026-06-22,2760.0,3.939,3.91,0.109,100.0,0.0,2760.0,-3
Lab A,TUMBLY001,2026-06-23,2755.0,3.926,3.88,0.218,100.0,1266.0,1489.0,-2
Lab A,TUMBLY001,2026-06-24,2757.0,3.912,3.88,0.0,34.712,2757.0,0.0,-1
Lab A,TUMBLY001,2026-06-25,2749.0,3.899,3.85,0.0,33.321,2749.0,0.0,0
Lab A,TUMBLY001,2026-06-26,2761.0,3.888,3.85,0.0,33.249,2761.0,0.0,1
Lab A,TUMBLY001,2026-06-27,2754.0,3.873,3.84,0.0,33.442,2754.0,0.0,2
Lab A,TUMBLY001,2026-06-28,2754.0,3.86,3.82,0.0,33.297,2754.0,0.0,3
Lab A,TUMBLY001,2026-06-29,2757.0,3.845,3.8,0.0,33.406,2757.0,0.0,4
Lab A,TUMBLY001,2026-06-30,2747.0,3.828,3.79,0.0,33.345,2747.0,0.0,5
Lab A,TUMBLY001,2026-07-01,1759.0,3.812,3.78,0.0,26.038,1759.0,0.0,6
Lab A,TUMBLY002,2026-06-11,734.0,4.139,4.11,0.0,100.0,0.0,734.0,-14
Lab A,TUMBLY002,2026-06-12,2749.0,4.122,4.09,0.0,100.0,0.0,2749.0,-13
Lab A,TUMBLY002,2026-06-13,2750.0,4.098,4.05,0.0,100.0,0.0,2750.0,-12
Lab A,TUMBLY002,2026-06-14,2764.0,4.064,4.03,0.0,100.0,0.0,2764.0,-11
Lab A,TUMBLY002,2026-06-15,2756.0,4.029,3.98,0.0,100.0,0.0,2756.0,-10
Lab A,TUMBLY002,2026-06-16,2753.0,3.999,3.96,0.109,100.0,0.0,2753.0,-9
Lab A,TUMBLY002,2026-06-17,1806.0,3.981,3.95,0.0,100.0,0.0,1806.0,-8
Lab A,TUMBLY002,2026-06-23,1257.0,3.87,3.83,0.0,100.0,1257.0,0.0,-2
Lab A,TUMBLY002,2026-06-24,2748.0,3.858,3.82,0.0,34.753,2748.0,0.0,-1
Lab A,TUMBLY002,2026-06-25,2748.0,3.84,3.81,0.0,33.37,2748.0,0.0,0
Lab A,TUMBLY002,2026-06-26,2748.0,3.825,3.79,0.0,33.261,2748.0,0.0,1
Lab A,TUMBLY002,2026-06-27,2747.0,3.808,3.76,0.0,33.345,2747.0,0.0,2
Lab A,TUMBLY002,2026-06-28,2752.0,3.793,3.76,0.0,33.285,2752.0,0.0,3
