dataset,unit,datetime,date,day_index,time_of_day_h,transition,task
Lab A,TUMBLY001,2026-06-24 04:00:18,2026-06-24,-1,4.005,close,TimedDoor
Lab A,TUMBLY001,2026-06-24 12:30:32,2026-06-24,-1,12.5089,open,TimedDoor
Lab A,TUMBLY001,2026-06-24 12:49:49,2026-06-24,-1,12.8303,close,TimedDoor
Lab A,TUMBLY001,2026-06-24 20:00:31,2026-06-24,-1,20.0086,open,TimedDoor
Lab A,TUMBLY001,2026-06-25 04:00:05,2026-06-25,0,4.0014,close,TimedDoor
Lab A,TUMBLY001,2026-06-25 20:00:16,2026-06-25,0,20.0044,open,TimedDoor
Lab A,TUMBLY001,2026-06-26 04:00:12,2026-06-26,1,4.0033,close,TimedDoor
Lab A,TUMBLY001,2026-06-26 20:00:32,2026-06-26,1,20.0089,open,TimedDoor
Lab A,TUMBLY001,2026-06-27 04:00:29,2026-06-27,2,4.0081,close,TimedDoor
Lab A,TUMBLY001,2026-06-27 20:00:10,2026-06-27,2,20.0028,open,TimedDoor
Lab A,TUMBLY001,2026-06-28 04:00:21,2026-06-28,3,4.0058,close,TimedDoor
Lab A,TUMBLY001,2026-06-28 20:00:09,2026-06-28,3,20.0025,open,TimedDoor
Lab A,TUMBLY001,2026-06-29 04:00:23,2026-06-29,4,4.0064,close,TimedDoor
Lab A,TUMBLY001,2026-06-29 20:00:29,2026-06-29,4,20.0081,open,TimedDoor
Lab A,TUMBLY001,2026-06-30 04:00:29,2026-06-30,5,4.0081,close,TimedDoor
Lab A,TUMBLY001,2026-06-30 20:00:13,2026-06-30,5,20.0036,open,TimedDoor
Lab A,TUMBLY001,2026-07-01 04:00:22,2026-07-01,6,4.0061,close,TimedDoor
Lab A,TUMBLY002,2026-06-24 04:00:16,2026-06-24,-1,4.0044,close,TimedDoor
Lab A,TUMBLY002,2026-06-24 12:30:32,2026-06-24,-1,12.5089,open,TimedDoor
Lab A,TUMBLY002,2026-06-24 12:51:32,2026-06-24,-1,12.8589,close,TimedDoor
Lab A,TUMBLY002,2026-06-24 20:00:25,2026-06-24,-1,20.0069,open,TimedDoor
Lab A,TUMBLY002,2026-06-25 04:00:32,2026-06-25,0,4.0089,close,TimedDoor
