dataset,subject_id,subject_type,diet,design,phase,date,day_index,food_g_per_mouse_per_day,mice_in_cage,food_g_per_cage_per_day
Lab A,1338,mouse,control,within,ADL,2026-06-17,-7,3.0,1,3.0
Lab A,1338,mouse,control,within,ADL,2026-06-18,-6,2.9,1,2.9
Lab A,1338,mouse,control,within,ADL,2026-06-19,-5,3.5,1,3.5
Lab A,1338,mouse,control,within,ADL,2026-06-20,-4,3.6,1,3.6
Lab A,1338,mouse,control,within,ADL,2026-06-21,-3,3.9,1,3.9
Lab A,1338,mouse,control,within,ADL,2026-06-22,-2,4.3,1,4.3
Lab A,1338,mouse,control,within,ADL,2026-06-23,-1,3.8,1,3.8
Lab A,1338,mouse,,within,transition,2026-06-24,0,4.0,1,4.0
Lab A,1338,mouse,TRF,within,TRF,2026-06-25,1,3.4,1,3.4
Lab A,1338,mouse,TRF,within,TRF,2026-06-26,2,3.6,1,3.6
Lab A,1338,mouse,TRF,within,TRF,2026-06-27,3,3.7,1,3.7
Lab A,1338,mouse,TRF,within,TRF,2026-06-28,4,3.5,1,3.5
Lab A,1338,mouse,TRF,within,TRF,2026-06-29,5,3.8,1,3.8
Lab A,1338,mouse,TRF,within,TRF,2026-06-30,6,3.6,1,3.6
Lab A,1338,mouse,TRF,within,TRF,2026-07-01,7,4.1,1,4.1
Lab A,1339,mouse,control,within,ADL,2026-06-17,-7,3.8,1,3.8
Lab A,1339,mouse,control,within,ADL,2026-06-18,-6,3.3,1,3.3
Lab A,1339,mouse,control,within,ADL,2026-06-19,-5,3.4,1,3.4
Lab A,1339,mouse,control,within,ADL,2026-06-20,-4,3.3,1,3.3
Lab A,1339,mouse,control,within,ADL,2026-06-21,-3,3.4,1,3.4
Lab A,1339,mouse,control,within,ADL,2026-06-22,-2,3.6,1,3.6
Lab A,1339,mouse,control,within,ADL,2026-06-23,-1,4.2,1,4.2
Lab A,1339,mouse,,within,transition,2026-06-24,0,2.8,1,2.8
Lab A,1339,mouse,TRF,within,TRF,2026-06-25,1,2.7,1,2.7
Lab A,1339,mouse,TRF,within,TRF,2026-06-26,2,2.6,1,2.6
Lab A,1339,mouse,TRF,within,TRF,2026-06-27,3,3.5,1,3.5
